# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1322
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
qu wei shi zu 	趣味十足	c=1 d=0.634448 t=1322
qu xiao 	取消	c=1 d=0.0018363 t=1322
que 	却	c=1 d=0.168638 t=1322
ran hou 	然后	c=2 d=0.0904163 t=1322
ran qi 	燃气	c=1 d=0.402524 t=1322
ren 	人	c=11 d=2.32862 t=1322
ren ke 	认可	c=1 d=0.00440507 t=1322
ren sheng 	人生	c=1 d=0.008271 t=1322
ren shou 	忍受	c=1 d=0.00336274 t=1322
ren wu 	人物	c=1 d=0.108609 t=1322
ren zheng 	认证	c=2 d=0.487191 t=1322
ri ju 	日剧	c=1 d=0.024234 t=1322
ri yu 	日语	c=1 d=0.0247235 t=1322
rong qi 	容器	c=9 d=0.0577618 t=1322
rong ru 	融入	c=1 d=0.11475 t=1322
rong yi 	容易	c=1 d=0.00386807 t=1322
ru 	入	c=1 d=0.267135 t=1322
ru ci 	如此	c=1 d=0.00189223 t=1322
ru guo 	如果	c=4 d=0.70579 t=1322
ru he 	如何	c=4 d=0.237087 t=1322
san zhong 	三种	c=1 d=0.00618889 t=1322
sha 	啥	c=1 d=0.0665368 t=1322
shan yu yu lai 	山雨欲来	c=1 d=0.159614 t=1322
shang liang 	商量	c=1 d=0.00238156 t=1322
shang mian 	上面	c=1 d=0.625002 t=1322
shang wei 	尚未	c=1 d=0.0376283 t=1322
shao bu fen 	少部分	c=1 d=0.00436124 t=1322
shao wei 	稍微	c=1 d=0.543351 t=1322
she qu 	社区	c=1 d=0.054204 t=1322
she shi 	设施	c=1 d=0.0374406 t=1322
shen he 	审核	c=3 d=1.45224 t=1322
shen ke 	深刻	c=1 d=0.024972 t=1322
shen me 	什么	c=6 d=1.58533 t=1322
shen qing 	申请	c=1 d=0.0223708 t=1322
sheng dong 	生动	c=1 d=0.105399 t=1322
sheng ji 	升级	c=2 d=0.00291805 t=1322
sheng yu 	胜于	c=0 d=0.012493 t=1322
shi 	是	c=13 d=1.886 t=1322
shi chuan 	试穿	c=1 d=0.0219278 t=1322
shi fou 	是否	c=3 d=0.343291 t=1322
shi hou 	事后	c=1 d=0.0518189 t=1322
shi hou 	时候	c=2 d=0.35395 t=1322
shi jian 	事件	c=1 d=0.10435 t=1322
shi jian 	时间	c=1 d=0.0731678 t=1322
shi li 	示例	c=1 d=0.00763509 t=1322
shi pin 	视频	c=1 d=0.0731923 t=1322
shi qing 	事情	c=2 d=0.786757 t=1322
shi ri 	时日	c=1 d=0.00394621 t=1322
shi shi 	试试	c=1 d=0.268474 t=1322
shi wu 	十五	c=1 d=0.100761 t=1322
shi ying 	适应	c=1 d=0.00195707 t=1322
shi yong 	使用	c=1 d=0.00311976 t=1322
shi zu 	十足	c=0 d=0.0631284 t=1322
shou dao 	收到	c=1 d=0.524663 t=1322
shou gong 	手工	c=1 d=0.99005 t=1322
shou xian 	首先	c=1 d=0.00151855 t=1322
shu 	竖	c=0 d=0.000211225 t=1322
shu ji 	书籍	c=1 d=0.00755912 t=1322
shu ji 	书记	c=1 d=0.0104099 t=1322
shu ju 	数据	c=1 d=0.0833256 t=1322
shu pai 	竖排	c=1 d=0.00213348 t=1322
shu ru 	输入	c=1 d=0.00192083 t=1322
shu xu guan 	鼠须管	c=9 d=2.90083 t=1322
shua xin 	刷新	c=1 d=0.264477 t=1322
shuang pin 	双拼	c=2 d=0.00332648 t=1322
shuo 	说	c=2 d=0.0236158 t=1322
shuo le 	说了	c=1 d=0.0106734 t=1322
shuo ming 	说明	c=2 d=0.807114 t=1322
si 	丝	c=1 d=0.16696 t=1322
si hu 	似乎	c=2 d=0.0944525 t=1322
si juan 	丝绢	c=1 d=0.07502 t=1322
sou gou 	搜狗	c=1 d=0.895834 t=1322
sui shu 	岁数	c=1 d=0.467666 t=1322
ta 	他	c=2 d=0.0145629 t=1322
